q1,q2,dq1,dq2,ddq1,ddq2,qd1,qd2,e1,e2,u1,u2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
0,0,0,0,0,0,0,0,0,0,0.24525,0.0981
